sample,seconds,register,value
2494667,56.5684126984127,0x2C,0x51
2494669,56.56845804988662,0x34,0x0C
2494702,56.56920634920635,0x36,0x60
2494719,56.569591836734695,0x37,0x94
2495323,56.583287981859414,0x30,0xF8
2495340,56.583673469387755,0x31,0xC4
2495357,56.5840589569161,0x32,0xB8
2495389,56.58478458049887,0x34,0x30
2495422,56.585532879818594,0x36,0x6C
2495439,56.58591836734694,0x37,0xA8
2496042,56.599591836734696,0x28,0x3D
2496044,56.59963718820862,0x30,0x18
2496061,56.60002267573696,0x31,0xB4
2496109,56.60111111111111,0x34,0x50
2496142,56.60185941043084,0x36,0x50
2496159,56.60224489795918,0x37,0xC4
2496281,56.60501133786848,0x1B,0x80
2496293,56.605283446712015,0x1B,0x40
2496767,56.616031746031744,0x30,0x38
2496784,56.61641723356009,0x31,0xD4
2496801,56.61680272108843,0x32,0xE4
2496834,56.617551020408165,0x34,0x3C
2496840,56.61768707482993,0x7C,0x13
2496872,56.6184126984127,0x36,0x34
2496889,56.618798185941046,0x37,0xE0
2497487,56.63235827664399,0x30,0x5C
2497504,56.63274376417233,0x31,0xF8
2497521,56.63312925170068,0x2A,0x51
2497523,56.6331746031746,0x32,0x10
2497556,56.633922902494334,0x34,0x1C
2497588,56.6346485260771,0x36,0x1C
2497605,56.63503401360544,0x37,0xF8
2498212,56.64879818594104,0x30,0x7C
2498228,56.64916099773242,0x29,0x38
2498231,56.64922902494331,0x31,0x18
2498248,56.64961451247166,0x32,0x3C
2498280,56.650340136054425,0x2C,0x50
2498282,56.65038548752835,0x34,0xFC
2498315,56.65113378684807,0x36,0x00
2498331,56.651496598639454,0x2F,0x48
2498334,56.65156462585034,0x37,0x14
2498933,56.66514739229025,0x30,0x70
2498950,56.66553287981859,0x31,0x38
2498967,56.66591836734694,0x32,0x68
2498999,56.66664399092971,0x34,0xD8
2499031,56.667369614512474,0x2E,0x46
2499034,56.66743764172335,0x36,0xE4
2499051,56.6678231292517,0x37,0x30
2499655,56.68151927437642,0x30,0x50
2499672,56.68190476190476,0x31,0x5C
2499689,56.68229024943311,0x32,0x90
2499722,56.68303854875283,0x34,0xB8
2499754,56.6837641723356,0x36,0xC8
2499771,56.68414965986395,0x37,0x3C
2500378,56.697913832199546,0x30,0x30
2500395,56.698299319727894,0x31,0x7C
2500412,56.698684807256235,0x32,0x64
2500444,56.699410430839,0x34,0x94
2500477,56.70015873015873,0x36,0xD4
2500494,56.700544217687074,0x37,0x20
2500523,56.701201814058955,0x1B,0x80
2500534,56.70145124716553,0x1B,0x40
2500587,56.70265306122449,0x1B,0x80
2500599,56.70292517006803,0x1B,0x40
2500626,56.703537414965986,0x1B,0x80
2500646,56.70399092970521,0xE3,0x0F
2500648,56.704036281179135,0xEB,0x5F
2500649,56.7040589569161,0xF3,0x0F
2500651,56.70410430839002,0xFB,0x9F
2500654,56.70417233560091,0x1B,0x40
2500701,56.705238095238094,0x1B,0x80
2500720,56.705668934240364,0xE5,0x1F
2500722,56.705714285714286,0xED,0x2F
2500723,56.705736961451244,0xF5,0x1F
2500725,56.70578231292517,0xFD,0x0F
2500728,56.70585034013605,0x1B,0x40
2500748,56.70630385487528,0x1B,0x80
2500759,56.70655328798186,0x1B,0x40
2501101,56.71430839002267,0x30,0x0C
2501107,56.714444444444446,0x78,0x0C
2501123,56.71480725623583,0x31,0x70
2501140,56.71519274376417,0x32,0x38
2501146,56.71532879818594,0x7A,0x13
2501163,56.715714285714284,0x2B,0x0E
2501181,56.71612244897959,0x7B,0x0F
2501192,56.716371882086165,0xE3,0x03
2501199,56.716530612244895,0xF3,0x55
2501206,56.716689342403626,0xEB,0x01
2501214,56.71687074829932,0xFB,0x96
2501218,56.716961451247165,0x08,0x7B
2501230,56.717233560090705,0x34,0x84
2501246,56.71759637188209,0x2D,0x1E
2501276,56.71827664399093,0xE5,0x18
2501283,56.71843537414966,0xF5,0x27
2501290,56.71859410430839,0xED,0x17
2501298,56.71877551020408,0xFD,0x06
2501302,56.71886621315193,0x08,0x7D
2501314,56.719138321995466,0x36,0xF0
2501320,56.71927437641723,0x7E,0x11
2501336,56.719637188208615,0x37,0x04
2501825,56.730725623582764,0x28,0x3C
2501827,56.73077097505669,0x30,0xEC
2501844,56.731156462585034,0x31,0x50
2501861,56.73154195011338,0x32,0x0C
2501894,56.732290249433106,0x34,0xA4
2501926,56.73301587301587,0x2E,0x48
2501928,56.733061224489795,0x36,0x0C
2501945,56.73344671201814,0x2F,0x46
2501947,56.733492063492065,0x37,0xEC
2502547,56.74709750566893,0x30,0xC8
2502564,56.74748299319728,0x31,0x30
2502581,56.74786848072562,0x2A,0x50
2502583,56.74791383219954,0x32,0xE0
2502616,56.748662131519275,0x34,0xC8
2502648,56.74938775510204,0x36,0x28
2502665,56.74977324263038,0x37,0xD0
2502721,56.75104308390023,0x1B,0x80
2502732,56.7512925170068,0x1B,0x40
2503268,56.763446712018144,0x30,0xB0
2503285,56.763832199546485,0x31,0x0C
2503291,56.76396825396825,0x79,0x0E
2503308,56.7643537414966,0x32,0xB4
2503341,56.76510204081632,0x34,0xE8
2503373,56.76582766439909,0x36,0x44
2503390,56.76621315192744,0x37,0xB4
2503990,56.779818594104306,0x30,0xD0
2504007,56.780204081632654,0x29,0x36
2504009,56.780249433106576,0x31,0xEC
2504026,56.780634920634924,0x32,0xBC
2504058,56.781360544217684,0x2C,0x51
2504061,56.78142857142857,0x34,0x08
2504093,56.78215419501134,0x36,0x5C
2504110,56.782539682539685,0x37,0x98
2504714,56.7962358276644,0x30,0xF4
2504731,56.796621315192745,0x31,0xC8
2504748,56.797006802721086,0x32,0xE8
2504781,56.79775510204082,0x34,0x2C
2504813,56.798480725623584,0x36,0x70
2504830,56.798866213151925,0x37,0xA4
2505021,56.80319727891156,0x1B,0x80
2505033,56.8034693877551,0x1B,0x40
2505436,56.812607709750566,0x28,0x3D
2505438,56.81265306122449,0x30,0x14
2505455,56.813038548752836,0x31,0xB0
2505472,56.81342403628118,0x2A,0x51
2505474,56.8134693877551,0x32,0x14
2505507,56.81421768707483,0x34,0x4C
2505539,56.8149433106576,0x36,0x54
2505556,56.81532879818594,0x37,0xC0
2505562,56.81546485260771,0x7F,0x14
2506160,56.82902494331066,0x30,0x38
2506177,56.829410430839005,0x31,0xD0
2506194,56.829795918367346,0x32,0x40
2506227,56.83054421768708,0x34,0x40
2506259,56.831269841269844,0x36,0x38
2506276,56.831655328798185,0x37,0xDC
2506305,56.832312925170065,0x1B,0x80
2506317,56.832585034013604,0x1B,0x40
2506370,56.83378684807256,0x1B,0x80
2506382,56.8340589569161,0x1B,0x40
2506880,56.8453514739229,0x30,0x58
2506886,56.84548752834467,0x78,0x0E
2506903,56.84587301587302,0x31,0xF4
2506920,56.84625850340136,0x32,0x6C
2506926,56.84639455782313,0x7A,0x15
2506959,56.847142857142856,0x34,0x20
2506991,56.84786848072562,0x36,0x1C
2507008,56.84825396825397,0x37,0xF8
2507604,56.861768707482995,0x30,0x78
2507621,56.862154195011335,0x29,0x38
2507623,56.86219954648526,0x31,0x14
2507640,56.862585034013605,0x32,0x8C
2507673,56.86333333333334,0x34,0x00
2507705,56.8640589569161,0x36,0x00
2507722,56.864444444444445,0x2F,0x48
2507724,56.86448979591837,0x37,0x14
2507845,56.8672335600907,0x1B,0x80
2507857,56.86750566893424,0x1B,0x40
2508325,56.8781179138322,0x30,0x74
2508342,56.87850340136055,0x31,0x38
2508359,56.87888888888889,0x32,0x60
2508391,56.879614512471655,0x2C,0x50
2508394,56.87968253968254,0x34,0xDC
2508400,56.87981859410431,0x7C,0x16
2508431,56.88052154195012,0x2E,0x46
2508434,56.880589569160996,0x36,0xE4
2508451,56.880975056689344,0x37,0x2C
2508506,56.882222222222225,0x1B,0x80
2508517,56.8824716553288,0x1B,0x40
2509048,56.89451247165533,0x30,0x54
2509065,56.89489795918367,0x31,0x58
2509071,56.89503401360544,0x79,0x10
2509088,56.89541950113379,0x32,0x34
2509121,56.89616780045351,0x34,0xBC
2509142,56.896643990929704,0x08,0x05
2509154,56.89691609977324,0x36,0xCC
2509171,56.897301587301584,0x37,0x40
2509771,56.91090702947846,0x30,0x34
2509788,56.9112925170068,0x31,0x78
2509805,56.91167800453515,0x32,0x08
2509837,56.912403628117914,0x34,0x98
2509870,56.91315192743764,0x36,0xD0
2509887,56.91353741496599,0x37,0x24
2510493,56.92727891156463,0x30,0x10
2510510,56.92766439909297,0x31,0x74
2510527,56.92804988662132,0x2A,0x50
2510529,56.92809523809524,0x32,0xDC
2510562,56.92884353741496,0x34,0x80
2510594,56.92956916099773,0x36,0xEC
2510611,56.92995464852608,0x37,0x08
2511215,56.9436507936508,0x28,0x3C
2511218,56.943718820861676,0x30,0xF0
2511235,56.944104308390024,0x31,0x54
2511252,56.944489795918365,0x32,0xB0
2511273,56.94496598639456,0x08,0x03
2511285,56.945238095238096,0x34,0xA0
2511317,56.94596371882086,0x2E,0x48
2511320,56.94603174603174,0x36,0x08
2511336,56.946394557823126,0x2F,0x46
2511339,56.94646258503401,0x37,0xEC
2511938,56.96004535147392,0x30,0xCC
2511955,56.96043083900227,0x31,0x34
2511972,56.96081632653061,0x32,0xC0
2512005,56.96156462585034,0x34,0xC4
2512037,56.96229024943311,0x36,0x24
2512054,56.96267573696145,0x37,0xD0
2512083,56.96333333333333,0x1B,0x80
2512095,56.96360544217687,0x1B,0x40
2512149,56.96482993197279,0x1B,0x80
2512161,56.965102040816326,0x1B,0x40
2512245,56.96700680272109,0x1B,0x80
2512257,56.96727891156463,0x1B,0x40
2512662,56.976462585034014,0x30,0xAC
2512668,56.97659863945578,0x78,0x10
2512685,56.97698412698413,0x31,0x10
2512702,56.97736961451247,0x32,0xEC
2512708,56.97750566893424,0x7A,0x18
2512741,56.978253968253966,0x34,0xE4
2512773,56.97897959183673,0x36,0x40
2512779,56.979115646258506,0x7E,0x14
2512796,56.97950113378685,0x37,0xB4
2513383,56.99281179138322,0x30,0xD0
2513400,56.993197278911566,0x29,0x36
2513402,56.99324263038549,0x31,0xF0
2513419,56.99362811791383,0x2A,0x51
2513421,56.99367346938776,0x32,0x18
2513453,56.994399092970525,0x2C,0x51
2513455,56.99444444444445,0x34,0x08
2513488,56.99519274376417,0x36,0x5C
2513505,56.99557823129252,0x37,0x9C
2513627,56.998344671201814,0x1B,0x80
2513639,56.99861678004535,0x1B,0x40
2514108,57.009251700680274,0x30,0xF0
2514125,57.009637188208615,0x31,0xCC
2514142,57.01002267573696,0x32,0x44
2514175,57.01077097505669,0x34,0x28
2514181,57.01090702947846,0x7C,0x18
2514213,57.01163265306123,0x36,0x70
2514230,57.01201814058957,0x37,0xA0
2514285,57.01326530612245,0x1B,0x80
2514296,57.013514739229024,0x1B,0x40
2514829,57.02560090702948,0x28,0x3D
2514831,57.0256462585034,0x30,0x10
2514848,57.02603174603175,0x31,0xAC
2514854,57.026167800453514,0x79,0x12
2514871,57.02655328798186,0x32,0x70
2514904,57.02730158730159,0x34,0x48
2514936,57.02802721088435,0x36,0x58
2514953,57.0284126984127,0x37,0xBC
2515551,57.04197278911565,0x30,0x34
2515568,57.04235827664399,0x31,0xD0
2515585,57.042743764172336,0x32,0x88
2515618,57.04349206349206,0x34,0x44
2515650,57.04421768707483,0x36,0x3C
2515667,57.044603174603175,0x37,0xD8
2516273,57.058344671201816,0x30,0x54
2516290,57.05873015873016,0x31,0xF0
2516307,57.059115646258505,0x32,0x5C
2516340,57.05986394557823,0x34,0x24
2516372,57.060589569160996,0x36,0x20
2516389,57.060975056689344,0x37,0xF4
2516579,57.065283446712016,0x1B,0x80
2516590,57.06553287981859,0x1B,0x40
2516997,57.07476190476191,0x30,0x74
