sample,seconds,register,value
324108,7.349387755102041,0x30,0x04
324156,7.350476190476191,0x33,0x40
324173,7.350861678004535,0x34,0x40
324190,7.35124716553288,0x35,0x40
324222,7.351972789115647,0x2F,0x1E
324225,7.3520408163265305,0x37,0x10
324294,7.353605442176871,0xE1,0x2F
324296,7.353650793650794,0xE9,0x4F
324297,7.353673469387755,0xF1,0x2F
324299,7.353718820861678,0xF9,0x2F
324829,7.365736961451248,0x30,0x0C
324845,7.36609977324263,0x29,0x42
324875,7.366780045351474,0xE1,0x26
324882,7.366938775510204,0xF1,0x46
324889,7.3670975056689345,0xE9,0x25
324897,7.367278911564626,0xF9,0x28
324901,7.367369614512472,0x08,0x79
324928,7.367981859410431,0x33,0x6C
324934,7.3681179138322,0x7B,0x12
324951,7.368503401360544,0x34,0x6C
324957,7.368639455782313,0x7C,0x12
324974,7.369024943310658,0x35,0x6C
324980,7.369160997732426,0x7D,0x0E
325013,7.369909297052154,0x37,0x3C
325019,7.370045351473923,0x7F,0x10
325551,7.382108843537415,0x30,0x18
325599,7.383197278911565,0x33,0x78
325616,7.383582766439909,0x34,0x78
325633,7.383968253968254,0x35,0x78
325666,7.384716553287982,0x37,0x48
326274,7.398503401360545,0x30,0x24
326322,7.399591836734694,0x33,0x4C
326339,7.3999773242630384,0x34,0x4C
326356,7.400362811791383,0x35,0x4C
326389,7.401111111111111,0x37,0x1C
326994,7.414829931972789,0x30,0x30
327042,7.415918367346939,0x33,0x20
327059,7.4163038548752835,0x34,0x20
327076,7.416689342403628,0x35,0x20
327108,7.417414965986395,0x2F,0x1D
327111,7.417482993197279,0x37,0xF0
327717,7.431224489795919,0x30,0x38
327754,7.4320634920634925,0x08,0x02
327766,7.432335600907029,0x2B,0x2D
327768,7.432380952380952,0x33,0xF4
327785,7.432766439909297,0x2C,0x26
327787,7.43281179138322,0x34,0xF4
327803,7.433174603174603,0x2D,0x1D
327806,7.433242630385488,0x35,0xF4
327838,7.433968253968254,0x37,0xC4
328487,7.448684807256236,0x33,0xC8
328504,7.449070294784581,0x34,0xC8
328521,7.449455782312925,0x35,0xC8
328553,7.450181405895692,0x37,0x98
328645,7.452267573696145,0xE2,0x2F
328646,7.452290249433107,0xEA,0x4F
328648,7.45233560090703,0xF2,0x2F
328649,7.452358276643991,0xFA,0x2F
329164,7.464036281179139,0x30,0x2C
329196,7.464761904761905,0x2A,0x41
329226,7.465442176870749,0xE2,0x26
329233,7.465600907029478,0xF2,0x46
329240,7.465759637188208,0xEA,0x25
329248,7.4659410430839,0xFA,0x28
329252,7.466031746031746,0x08,0x7A
329264,7.466303854875283,0x33,0xBC
329281,7.466689342403628,0x34,0xBC
329298,7.467074829931973,0x35,0xBC
329330,7.467800453514739,0x37,0x8C
329884,7.480362811791383,0x30,0x20
329932,7.481451247165533,0x33,0xE8
329949,7.481836734693878,0x34,0xE8
329966,7.482222222222222,0x35,0xE8
329999,7.48297052154195,0x37,0xB8
330607,7.496757369614513,0x30,0x18
330655,7.497845804988662,0x2B,0x2E
330657,7.497891156462585,0x33,0x14
330674,7.49827664399093,0x2C,0x28
330676,7.498321995464853,0x34,0x14
330692,7.498684807256236,0x2D,0x1E
330695,7.49875283446712,0x35,0x14
330727,7.499478458049887,0x37,0xE4
331332,7.513197278911565,0x30,0x0C
331353,7.513673469387755,0x08,0x01
331381,7.514308390022676,0x33,0x40
331398,7.514693877551021,0x34,0x40
331415,7.515079365079365,0x35,0x40
331447,7.515804988662132,0x2F,0x1E
331449,7.515850340136055,0x37,0x10
332052,7.52952380952381,0x30,0x00
332100,7.530612244897959,0x33,0x68
332117,7.530997732426304,0x34,0x68
332134,7.531383219954648,0x35,0x68
332167,7.532131519274376,0x37,0x38
332775,7.545918367346939,0x28,0x4D
332777,7.545963718820862,0x30,0xF8
332825,7.547052154195011,0x33,0x7C
332842,7.547437641723356,0x34,0x7C
332859,7.547823129251701,0x35,0x7C
332892,7.548571428571429,0x37,0x4C
332961,7.550136054421769,0xE1,0x2F
332963,7.5501814058956915,0xE9,0x4F
332964,7.550204081632653,0xF1,0x2F
332966,7.550249433106576,0xF9,0x2F
333497,7.562290249433107,0x28,0x4E
333499,7.562335600907029,0x30,0x00
333516,7.562721088435374,0x29,0x48
333545,7.563378684807256,0xE1,0x26
333552,7.563537414965986,0xF1,0x46
333559,7.563696145124717,0xE9,0x25
333567,7.563877551020409,0xF9,0x28
333571,7.563968253968254,0x08,0x79
333598,7.5645804988662135,0x33,0x50
333615,7.564965986394558,0x34,0x50
333632,7.565351473922902,0x35,0x50
333653,7.565827664399093,0x76,0x0A
333658,7.5659410430839005,0x6E,0x0A
333662,7.566031746031746,0x7E,0x0D
333679,7.566417233560091,0x37,0x20
334219,7.578662131519274,0x30,0x0C
334267,7.579750566893424,0x33,0x24
334284,7.580136054421769,0x34,0x24
334301,7.580521541950113,0x35,0x24
334333,7.58124716553288,0x2F,0x1D
334336,7.581315192743764,0x37,0xF4
334942,7.595056689342403,0x30,0x18
334990,7.5961451247165535,0x2B,0x2D
334992,7.596190476190476,0x33,0xF8
335009,7.596575963718821,0x2C,0x26
335011,7.596621315192744,0x34,0xF8
335027,7.596984126984127,0x2D,0x1D
335030,7.597052154195011,0x35,0xF8
335062,7.597777777777778,0x37,0xC8
335665,7.611451247165533,0x30,0x24
335713,7.6125396825396825,0x33,0xCC
335730,7.612925170068027,0x34,0xCC
335747,7.613310657596372,0x35,0xCC
335780,7.6140589569161,0x37,0x9C
336387,7.6278231292517,0x30,0x2C
336424,7.628662131519274,0x08,0x02
336436,7.6289342403628115,0x33,0xB8
336453,7.629319727891157,0x34,0xB8
336470,7.629705215419501,0x35,0xB8
336503,7.630453514739229,0x37,0x88
337112,7.644263038548753,0x30,0x38
337160,7.6453514739229025,0x33,0xE4
337177,7.645736961451247,0x34,0xE4
337194,7.646122448979592,0x35,0xE4
337226,7.646848072562358,0x37,0xB4
337318,7.648934240362812,0xE2,0x2F
337319,7.648956916099773,0xEA,0x4F
337321,7.649002267573696,0xF2,0x2F
337322,7.649024943310658,0xFA,0x2F
337865,7.661337868480726,0x2A,0x46
337895,7.662018140589569,0xE2,0x26
337902,7.662176870748299,0xF2,0x46
337909,7.66233560090703,0xEA,0x25
337917,7.662517006802721,0xFA,0x28
337921,7.662607709750567,0x08,0x7A
337932,7.662857142857143,0x2B,0x2E
337935,7.662925170068028,0x33,0x10
337951,7.66328798185941,0x2C,0x28
337954,7.663356009070295,0x34,0x10
337970,7.663718820861678,0x2D,0x1E
337973,7.663786848072562,0x35,0x10
338005,7.664512471655329,0x37,0xE0
338555,7.676984126984127,0x30,0x2C
338603,7.678072562358277,0x33,0x3C
338620,7.678458049886621,0x34,0x3C
338637,7.678843537414966,0x35,0x3C
338669,7.679569160997732,0x2F,0x1E
338672,7.679637188208617,0x37,0x0C
339279,7.693401360544217,0x30,0x24
339327,7.694489795918368,0x33,0x68
339344,7.694875283446712,0x34,0x68
339361,7.6952607709750565,0x35,0x68
339394,7.696009070294784,0x37,0x38
340000,7.709750566893424,0x30,0x18
340022,7.710249433106576,0x08,0x01
