sample,seconds,register,value
85832,1.9463038548752833,0xF8,0x0F
85835,1.9463718820861677,0x1B,0x40
85864,1.94702947845805,0x1B,0x80
85881,1.9474149659863946,0xE1,0xAF
85883,1.9474603174603176,0xE9,0x0F
85884,1.947482993197279,0xF1,0x9F
85886,1.9475283446712017,0xF9,0x0F
85887,1.9475510204081632,0x08,0x01
85889,1.9475963718820861,0x1B,0x40
86392,1.9590022675736962,0x28,0x45
86411,1.9594331065759638,0x78,0x0D
86422,1.9596825396825397,0xE0,0x73
86429,1.95984126984127,0xF0,0x63
86436,1.96,0xE8,0x84
86444,1.9601814058956917,0xF8,0x08
86448,1.9602721088435373,0x08,0x78
86459,1.9605215419501134,0x29,0x45
86478,1.960952380952381,0x79,0x1D
86489,1.9612018140589569,0xE1,0xA5
86496,1.9613605442176871,0xF1,0x0F
86503,1.9615192743764172,0xE9,0x95
86511,1.9617006802721089,0xF9,0x08
86515,1.9617913832199547,0x08,0x79
86531,1.962154195011338,0x08,0x02
86548,1.9625396825396826,0x08,0x03
86565,1.9629251700680272,0x08,0x04
87113,1.9753514739229026,0x30,0x3C
87130,1.9757369614512472,0x31,0x3C
87837,1.9917687074829933,0x30,0x60
87854,1.992154195011338,0x31,0x60
88558,2.0081179138321996,0x30,0x70
88575,2.008503401360544,0x31,0x70
89282,2.02453514739229,0x30,0x4C
89288,2.024671201814059,0x08,0x00
89300,2.0249433106575965,0x31,0x4C
90003,2.0408843537414967,0x30,0x2C
90020,2.041269841269841,0x31,0x2C
90142,2.0440362811791384,0x1B,0x80
90162,2.044489795918367,0xE0,0x7F
90164,2.04453514739229,0xE8,0x6F
90165,2.0445578231292516,0xF0,0x8F
90167,2.0446031746031745,0xF8,0x0F
90170,2.044671201814059,0x1B,0x40
90198,2.0453061224489795,0x1B,0x80
90215,2.0456916099773244,0xE1,0xAF
90217,2.0457369614512473,0xE9,0x0F
90218,2.0457596371882087,0xF1,0x9F
90220,2.0458049886621317,0xF9,0x0F
90221,2.045827664399093,0x08,0x01
90223,2.045873015873016,0x1B,0x40
90251,2.0465079365079366,0x1B,0x80
90266,2.046848072562358,0xE2,0xAF
90267,2.0468707482993196,0xEA,0x0F
90269,2.0469160997732425,0xF2,0x9F
90270,2.046938775510204,0xFA,0x0F
90274,2.04702947845805,0x1B,0x40
90293,2.0474603174603176,0x1B,0x80
90308,2.047800453514739,0xE3,0xAF
90310,2.047845804988662,0xEB,0x0F
90311,2.0478684807256236,0xF3,0x9F
90313,2.0479138321995465,0xFB,0x0F
90316,2.047981859410431,0x1B,0x40
90336,2.0484353741496597,0x1B,0x80
90351,2.0487755102040817,0xE4,0xAF
90352,2.048798185941043,0xEC,0x0F
90354,2.048843537414966,0xF4,0x9F
90355,2.0488662131519275,0xFC,0x0F
90359,2.0489569160997734,0x1B,0x40
90378,2.0493877551020407,0x1B,0x80
90391,2.0496825396825398,0xE5,0x1F
90392,2.0497052154195012,0xED,0x2F
90394,2.049750566893424,0xF5,0x1F
90395,2.0497732426303856,0xFD,0x0F
90397,2.0498185941043086,0x08,0x05
90399,2.0498639455782315,0x1B,0x40
90726,2.0572789115646257,0x28,0x4C
90745,2.0577097505668935,0x78,0x0B
90756,2.057959183673469,0xE0,0x73
90763,2.0581179138321994,0xF0,0x63
90770,2.0582766439909297,0xE8,0x84
90778,2.0584580498866214,0xF8,0x08
90782,2.0585487528344673,0x08,0x78
90793,2.058798185941043,0x29,0x4C
90812,2.0592290249433107,0x79,0x1B
90823,2.059478458049887,0xE1,0xA5
90830,2.0596371882086166,0xF1,0x0F
90837,2.059795918367347,0xE9,0x95
90845,2.0599773242630386,0xF9,0x08
90849,2.0600680272108844,0x08,0x79
90890,2.060997732426304,0xE2,0xA5
90897,2.061156462585034,0xF2,0x0F
90904,2.061315192743764,0xEA,0x95
90912,2.061496598639456,0xFA,0x08
90916,2.0615873015873016,0x08,0x7A
90957,2.062517006802721,0xE3,0xA5
90964,2.0626757369614515,0xF3,0x0F
90971,2.0628344671201813,0xEB,0x95
90979,2.063015873015873,0xFB,0x08
90983,2.063106575963719,0x08,0x7B
91024,2.0640362811791384,0xE4,0xA5
91031,2.0641950113378686,0xF4,0x0F
91038,2.0643537414965984,0xEC,0x95
91046,2.06453514739229,0xFC,0x08
91050,2.064625850340136,0x08,0x7C
91061,2.064875283446712,0x2D,0x1C
91091,2.0655555555555556,0xE5,0x18
91098,2.065714285714286,0xF5,0x27
91105,2.065873015873016,0xED,0x17
91113,2.0660544217687073,0xFD,0x06
91117,2.066145124716553,0x08,0x7D
91450,2.0736961451247167,0x30,0x3C
91467,2.074081632653061,0x31,0x3C
92171,2.090045351473923,0x30,0x60
92188,2.0904308390022677,0x31,0x60
92893,2.106417233560091,0x30,0x70
92910,2.1068027210884352,0x31,0x70
93617,2.1228344671201813,0x30,0x4C
93634,2.123219954648526,0x31,0x4C
94338,2.139183673469388,0x30,0x2C
94355,2.1395691609977323,0x31,0x2C
95061,2.155578231292517,0x30,0x08
95078,2.155963718820862,0x31,0x08
95100,2.1564625850340136,0x08,0x02
95117,2.1568480725623584,0x08,0x03
