sample,seconds,register,value
11472,0.2601360544217687,0x08,0x7C
11969,0.27140589569161,0x30,0x94
11991,0.2719047619047619,0x08,0x01
12196,0.2765532879818594,0x1B,0x80
12210,0.27687074829931974,0x1B,0x40
12694,0.28784580498866214,0x28,0x64
12696,0.287891156462585,0x30,0x1C
13414,0.304172335600907,0x30,0x38
14138,0.32058956916099773,0x30,0x50
14301,0.3242857142857143,0x1B,0x80
14317,0.3246485260770975,0xE9,0x0F
14318,0.32467120181405895,0xF1,0x0F
14320,0.3247165532879819,0xF9,0x0F
14323,0.3247845804988662,0x1B,0x40
14390,0.32630385487528346,0x1B,0x80
14405,0.3266439909297052,0xE5,0x1F
14407,0.3266893424036281,0xED,0x2F
14408,0.3267120181405896,0xF5,0x1F
14410,0.32675736961451246,0xFD,0x0F
14413,0.32682539682539685,0x1B,0x40
14860,0.33696145124716553,0x30,0x6C
14914,0.3381859410430839,0xF1,0x01
14921,0.33834467120181405,0xE9,0x01
14929,0.33852607709750565,0xF9,0x01
14933,0.33861678004535145,0x08,0x79
15021,0.34061224489795916,0xE5,0x18
15028,0.34077097505668935,0xF5,0x27
15035,0.3409297052154195,0xED,0x17
15043,0.3411111111111111,0xFD,0x06
15047,0.34120181405895694,0x08,0x7D
15582,0.35333333333333333,0x30,0x88
15619,0.35417233560090705,0x08,0x02
15667,0.3552607709750567,0x08,0x05
16305,0.3697278911564626,0x30,0xA4
16499,0.37412698412698414,0x1B,0x80
16516,0.3745124716553288,0x1B,0x40
16533,0.37489795918367347,0x1B,0x80
16550,0.37528344671201813,0x1B,0x40
17027,0.3860997732426304,0x30,0x18
17080,0.3873015873015873,0x7B,0x23
17086,0.387437641723356,0x08,0x03
17102,0.38780045351473924,0x7C,0x25
17108,0.3879365079365079,0x08,0x04
17750,0.40249433106575966,0x28,0x62
17752,0.40253968253968253,0x30,0xFC
17932,0.40662131519274375,0x1B,0x80
17947,0.40696145124716554,0xE2,0xFF
17949,0.4070068027210884,0xEA,0x0F
17950,0.4070294784580499,0xF2,0x2F
17952,0.4070748299319728,0xFA,0x0F
17955,0.40714285714285714,0x1B,0x40
17975,0.4075963718820862,0x1B,0x80
17992,0.40798185941043086,0xE3,0xFF
17994,0.40802721088435373,0xEB,0x0F
17995,0.4080498866213152,0xF3,0x2F
17997,0.4080952380952381,0xFB,0x0F
18000,0.40816326530612246,0x1B,0x40
18020,0.40861678004535146,0x1B,0x80
