arcade_pc	kind
0x01FEF8	branch_or_jump_target
0x01FEFC	branch_or_jump_target
0x01FF08	branch_or_jump_target
0x01FF0C	branch_or_jump_target
0x01FF10	branch_or_jump_target
0x01FF24	branch_or_jump_target
0x01FF40	branch_or_jump_target
0x01FF54	branch_or_jump_target
0x01FF64	branch_or_jump_target
0x01FF68	branch_or_jump_target
0x01FF6C	branch_or_jump_target
0x01FF80	branch_or_jump_target
0x01FFA8	branch_or_jump_target
0x021EDC	branch_or_jump_target
0x022034	branch_or_jump_target
0x022038	branch_or_jump_target
0x02203C	branch_or_jump_target
0x022040	branch_or_jump_target
0x02204C	branch_or_jump_target
0x022058	branch_or_jump_target
0x02205C	branch_or_jump_target
0x022060	branch_or_jump_target
0x022064	branch_or_jump_target
0x02207C	branch_or_jump_target
0x022084	branch_or_jump_target
0x02208C	branch_or_jump_target
0x022094	branch_or_jump_target
0x0220A4	branch_or_jump_target
0x0220A8	branch_or_jump_target
0x0220AC	branch_or_jump_target
0x0220B8	branch_or_jump_target
0x0220BC	branch_or_jump_target
0x0220C0	branch_or_jump_target
0x0220C4	branch_or_jump_target
0x0220C8	branch_or_jump_target
0x0220CC	branch_or_jump_target
0x0220D0	branch_or_jump_target
0x0220D4	branch_or_jump_target
0x0220E8	branch_or_jump_target
0x0220EC	branch_or_jump_target
0x0220F0	branch_or_jump_target
0x0220F8	branch_or_jump_target
0x0220FC	branch_or_jump_target
0x022100	branch_or_jump_target
0x022104	branch_or_jump_target
0x02210C	branch_or_jump_target
0x022110	branch_or_jump_target
0x02211C	branch_or_jump_target
0x022120	branch_or_jump_target
0x022128	branch_or_jump_target
0x02212C	branch_or_jump_target
0x022130	branch_or_jump_target
0x022134	branch_or_jump_target
0x022138	branch_or_jump_target
0x022140	branch_or_jump_target
0x022144	branch_or_jump_target
0x022148	branch_or_jump_target
0x02214C	branch_or_jump_target
0x022150	branch_or_jump_target
0x022164	branch_or_jump_target
0x02216C	branch_or_jump_target
0x02217C	branch_or_jump_target
0x022184	branch_or_jump_target
0x022188	branch_or_jump_target
0x02218C	branch_or_jump_target
0x022190	branch_or_jump_target
0x0221A0	branch_or_jump_target
0x0221A4	branch_or_jump_target
0x0221A8	branch_or_jump_target
0x0221B0	branch_or_jump_target
0x0221B4	branch_or_jump_target
0x0221B8	branch_or_jump_target
0x0221BC	branch_or_jump_target
0x0221C0	branch_or_jump_target
0x0221C4	branch_or_jump_target
0x0221C8	branch_or_jump_target
0x0221CC	branch_or_jump_target
0x0221D0	branch_or_jump_target
0x0221E0	branch_or_jump_target
0x0221E4	branch_or_jump_target
0x0221FC	branch_or_jump_target
0x022200	branch_or_jump_target
0x022214	branch_or_jump_target
0x02222C	branch_or_jump_target
0x022240	branch_or_jump_target
0x022254	branch_or_jump_target
0x02419C	branch_or_jump_target
0x0242EC	branch_or_jump_target
0x02430C	branch_or_jump_target
0x024318	branch_or_jump_target
0x02431C	branch_or_jump_target
0x024320	branch_or_jump_target
0x024324	branch_or_jump_target
0x02433C	branch_or_jump_target
0x024344	branch_or_jump_target
0x02434C	branch_or_jump_target
0x024350	branch_or_jump_target
0x024354	branch_or_jump_target
0x024358	branch_or_jump_target
0x024364	branch_or_jump_target
0x024368	branch_or_jump_target
0x02436C	branch_or_jump_target
0x02437C	branch_or_jump_target
0x024394	branch_or_jump_target
0x02439C	branch_or_jump_target
0x0243A8	branch_or_jump_target
0x0243AC	branch_or_jump_target
0x0243B0	branch_or_jump_target
0x0243B4	branch_or_jump_target
0x0243B8	branch_or_jump_target
0x0243BC	branch_or_jump_target
0x0243C0	branch_or_jump_target
0x0243C4	branch_or_jump_target
0x0243C8	branch_or_jump_target
0x0243CC	branch_or_jump_target
0x0243D0	branch_or_jump_target
0x0243DC	branch_or_jump_target
0x0243E0	branch_or_jump_target
0x0243E4	branch_or_jump_target
0x0243E8	branch_or_jump_target
0x0243EC	branch_or_jump_target
0x0243F0	branch_or_jump_target
0x0243F8	branch_or_jump_target
0x024404	branch_or_jump_target
0x024408	branch_or_jump_target
0x02440C	branch_or_jump_target
0x024410	branch_or_jump_target
0x024418	branch_or_jump_target
0x024424	branch_or_jump_target
0x024428	branch_or_jump_target
0x02442C	branch_or_jump_target
0x02443C	branch_or_jump_target
0x024444	branch_or_jump_target
0x024448	branch_or_jump_target
0x02444C	branch_or_jump_target
0x024450	branch_or_jump_target
0x024460	branch_or_jump_target
0x024464	branch_or_jump_target
0x024478	branch_or_jump_target
0x02447C	branch_or_jump_target
0x024480	branch_or_jump_target
0x024488	branch_or_jump_target
0x02448C	branch_or_jump_target
0x024490	branch_or_jump_target
0x0244A0	branch_or_jump_target
0x0244A4	branch_or_jump_target
0x0244BC	branch_or_jump_target
0x0244C0	branch_or_jump_target
0x0244D4	branch_or_jump_target
0x0244EC	branch_or_jump_target
0x024500	branch_or_jump_target
0x024514	branch_or_jump_target
0x02645C	branch_or_jump_target
0x0264C8	branch_or_jump_target
0x0264CC	branch_or_jump_target
0x0264E8	branch_or_jump_target
0x026598	branch_or_jump_target
0x0265C8	branch_or_jump_target
0x0265CC	branch_or_jump_target
0x0265D8	branch_or_jump_target
0x0265DC	branch_or_jump_target
0x0265E0	branch_or_jump_target
0x0265E4	branch_or_jump_target
0x0265E8	branch_or_jump_target
0x0265EC	branch_or_jump_target
0x0265F8	branch_or_jump_target
0x0265FC	branch_or_jump_target
0x026600	branch_or_jump_target
0x026604	branch_or_jump_target
0x026608	branch_or_jump_target
0x02660C	branch_or_jump_target
0x026610	branch_or_jump_target
0x026614	branch_or_jump_target
0x026618	branch_or_jump_target
0x026624	branch_or_jump_target
0x026628	branch_or_jump_target
0x02662C	branch_or_jump_target
0x02663C	branch_or_jump_target
0x026654	branch_or_jump_target
0x02665C	branch_or_jump_target
0x026668	branch_or_jump_target
0x02666C	branch_or_jump_target
0x026670	branch_or_jump_target
0x026674	branch_or_jump_target
0x026678	branch_or_jump_target
0x02667C	branch_or_jump_target
0x026684	branch_or_jump_target
0x0266A8	branch_or_jump_target
0x0266AC	branch_or_jump_target
0x0266B0	branch_or_jump_target
0x0266C0	branch_or_jump_target
0x0266C8	branch_or_jump_target
0x0266CC	branch_or_jump_target
0x0266D0	branch_or_jump_target
0x0266D4	branch_or_jump_target
0x0266E4	branch_or_jump_target
0x0266E8	branch_or_jump_target
0x0266FC	branch_or_jump_target
0x026700	branch_or_jump_target
0x026704	branch_or_jump_target
0x026708	branch_or_jump_target
0x02670C	branch_or_jump_target
0x026710	branch_or_jump_target
0x026720	branch_or_jump_target
0x026724	branch_or_jump_target
0x026738	branch_or_jump_target
0x02673C	branch_or_jump_target
0x026740	branch_or_jump_target
0x026744	branch_or_jump_target
0x02674C	branch_or_jump_target
0x026750	branch_or_jump_target
0x026760	branch_or_jump_target
0x026764	branch_or_jump_target
0x026770	branch_or_jump_target
0x026780	branch_or_jump_target
0x026788	branch_or_jump_target
0x026794	branch_or_jump_target
0x0267A4	branch_or_jump_target
0x0267AC	branch_or_jump_target
0x0267C0	branch_or_jump_target
0x0267D4	branch_or_jump_target
0x02888C	branch_or_jump_target
0x028898	branch_or_jump_target
0x02889C	branch_or_jump_target
0x0288A0	branch_or_jump_target
0x0288A4	branch_or_jump_target
0x0288A8	branch_or_jump_target
0x0288AC	branch_or_jump_target
0x0288B8	branch_or_jump_target
0x0288BC	branch_or_jump_target
0x0288C0	branch_or_jump_target
0x0288C4	branch_or_jump_target
0x0288C8	branch_or_jump_target
0x0288CC	branch_or_jump_target
0x0288D0	branch_or_jump_target
0x0288D4	branch_or_jump_target
0x0288D8	branch_or_jump_target
0x0288DC	branch_or_jump_target
0x0288E8	branch_or_jump_target
0x0288EC	branch_or_jump_target
0x0288F8	branch_or_jump_target
0x028914	branch_or_jump_target
0x028920	branch_or_jump_target
0x028928	branch_or_jump_target
0x02892C	branch_or_jump_target
0x028930	branch_or_jump_target
0x028934	branch_or_jump_target
0x028938	branch_or_jump_target
0x02893C	branch_or_jump_target
0x028944	branch_or_jump_target
0x028968	branch_or_jump_target
0x02896C	branch_or_jump_target
0x028970	branch_or_jump_target
0x028988	branch_or_jump_target
0x02898C	branch_or_jump_target
0x028990	branch_or_jump_target
0x028994	branch_or_jump_target
0x028998	branch_or_jump_target
0x0289A4	branch_or_jump_target
0x0289A8	branch_or_jump_target
0x0289BC	branch_or_jump_target
0x0289C0	branch_or_jump_target
0x0289C4	branch_or_jump_target
0x0289C8	branch_or_jump_target
0x0289D0	branch_or_jump_target
0x0289D4	branch_or_jump_target
0x0289E0	branch_or_jump_target
0x0289E4	branch_or_jump_target
0x0289F8	branch_or_jump_target
0x0289FC	branch_or_jump_target
0x028A00	branch_or_jump_target
0x028A08	branch_or_jump_target
0x028A0C	branch_or_jump_target
0x028A10	branch_or_jump_target
0x028A20	branch_or_jump_target
0x028A24	branch_or_jump_target
0x028A30	branch_or_jump_target
0x028A38	branch_or_jump_target
0x028A40	branch_or_jump_target
0x028A54	branch_or_jump_target
0x028A6C	branch_or_jump_target
0x028A80	branch_or_jump_target
0x028A94	branch_or_jump_target
0x02AB4C	branch_or_jump_target
0x02AB58	branch_or_jump_target
0x02AB5C	branch_or_jump_target
0x02AB60	branch_or_jump_target
0x02AB64	branch_or_jump_target
0x02AB68	branch_or_jump_target
0x02AB6C	branch_or_jump_target
0x02AB7C	branch_or_jump_target
0x02AB80	branch_or_jump_target
0x02AB84	branch_or_jump_target
0x02AB88	branch_or_jump_target
0x02AB8C	branch_or_jump_target
0x02AB90	branch_or_jump_target
0x02AB94	branch_or_jump_target
0x02AB98	branch_or_jump_target
0x02ABA8	branch_or_jump_target
0x02ABAC	branch_or_jump_target
0x02ABCC	branch_or_jump_target
0x02ABD4	branch_or_jump_target
0x02ABE8	branch_or_jump_target
0x02ABEC	branch_or_jump_target
0x02ABF0	branch_or_jump_target
0x02ABF4	branch_or_jump_target
0x02ABF8	branch_or_jump_target
0x02ABFC	branch_or_jump_target
0x02AC00	branch_or_jump_target
0x02AC28	branch_or_jump_target
0x02AC2C	branch_or_jump_target
0x02AC30	branch_or_jump_target
0x02AC3C	branch_or_jump_target
0x02AC48	branch_or_jump_target
0x02AC4C	branch_or_jump_target
0x02AC50	branch_or_jump_target
0x02AC54	branch_or_jump_target
0x02AC58	branch_or_jump_target
0x02AC64	branch_or_jump_target
0x02AC68	branch_or_jump_target
0x02AC7C	branch_or_jump_target
0x02AC80	branch_or_jump_target
0x02AC84	branch_or_jump_target
0x02AC90	branch_or_jump_target
0x02AC98	branch_or_jump_target
0x02ACA0	branch_or_jump_target
0x02ACA4	branch_or_jump_target
0x02ACB8	branch_or_jump_target
0x02ACBC	branch_or_jump_target
0x02ACC0	branch_or_jump_target
0x02ACC8	branch_or_jump_target
0x02ACCC	branch_or_jump_target
0x02ACD0	branch_or_jump_target
0x02ACE0	branch_or_jump_target
0x02ACE4	branch_or_jump_target
0x02ACF0	branch_or_jump_target
0x02AD00	branch_or_jump_target
0x02AD14	branch_or_jump_target
0x02AD20	branch_or_jump_target
0x02AD2C	branch_or_jump_target
0x02AD40	branch_or_jump_target
0x02AD54	branch_or_jump_target
0x02CDE8	branch_or_jump_target
0x02CDEC	branch_or_jump_target
0x02CDF0	branch_or_jump_target
