arcade_pc	name	entry	body_min	body_max	instruction_count	callers	callees
0x053E00	FUN_00053e00	0x053E00	0x053E00	0x053E20	6	0x053B34:FUN_00053b34	
0x0555B8	FUN_000555b8	0x0555B8	0x0555B8	0x05560A	20		0x055642:FUN_00055642,0x03A0EC:FUN_0003a0ec
0x05560C	FUN_0005560c	0x05560C	0x05560C	0x055640	12		0x055642:FUN_00055642,0x03A0EC:FUN_0003a0ec
0x055642	FUN_00055642	0x055642	0x055642	0x05564E	3	0x05560C:FUN_0005560c,0x0555B8:FUN_000555b8	
0x055AB4	FUN_00055ab4	0x055AB4	0x055AB4	0x055AD4	5	0x041F30:FUN_00041f30,0x05744E:FUN_0005744e	
0x055CA2	FUN_00055ca2	0x055CA2	0x055CA2	0x055DDA	65		
0x0565A6	shared_pc080sn_text_writer_565a6	0x0565A6	0x0565A6	0x0565A8	2		
0x05743C	FUN_0005743c	0x05743C	0x05743C	0x05744C	5	0x0574A4:FUN_000574a4,0x05744E:FUN_0005744e	
0x05744E	FUN_0005744e	0x05744E	0x05744E	0x0574A2	19		0x055AB4:FUN_00055ab4,0x05743C:FUN_0005743c,0x05A4DE:FUN_0005a4de
0x0574A4	FUN_000574a4	0x0574A4	0x0574A4	0x0574B6	5		0x05743C:FUN_0005743c,0x05A4DE:FUN_0005a4de
0x059882	FUN_00059882	0x059882	0x059882	0x05988A	3	0x041F30:FUN_00041f30	0x0599B2:FUN_000599b2,0x059962:FUN_00059962
0x05988C	FUN_0005988c	0x05988C	0x05988C	0x05990E	35	0x041F30:FUN_00041f30	0x059AD4:FUN_00059ad4
0x059962	FUN_00059962	0x059962	0x059962	0x0599B0	23	0x059882:FUN_00059882	0x059AD4:FUN_00059ad4
0x0599B2	FUN_000599b2	0x0599B2	0x0599B2	0x059A96	65	0x059882:FUN_00059882	0x059AD4:FUN_00059ad4
0x059AD4	FUN_00059ad4	0x059AD4	0x059AD4	0x059B18	27	0x0599B2:FUN_000599b2,0x05988C:FUN_0005988c,0x059962:FUN_00059962	
0x05A4DE	FUN_0005a4de	0x05A4DE	0x05A4DE	0x05A500	14	0x0574A4:FUN_000574a4,0x05744E:FUN_0005744e	
0x05B512	FUN_0005b512	0x05B512	0x05B512	0x05B512	1	0x03C516:FUN_0003c516,0x03B930:pc090oj_sprite_producer_3b930,0x03AD72:FUN_0003ad72,0x03C70A:FUN_0003c70a	
0x05FFA2	FUN_0005ffa2	0x05FFA2	0x05FFA2	0x05FFB0	5	0x03AE86:startup_common_body	
0x05FFB2	FUN_0005ffb2	0x05FFB2	0x05FFB2	0x05FFCC	10	0x03AE86:startup_common_body	
